,videoId,IdUser,text,ReplyCount,likeCount,publishedAt
0,2J_nziJhz2k,UgxV6TdB-TAV_mamTWV4AaABAg,wkwkwkwkw endingnya itu loh,0,0,2022-05-17T17:04:01Z
1,2J_nziJhz2k,Ugw_zrrXhGLMqAnlS3x4AaABAg,"Semenjak kenal devan demotivator, gw ga pernah lagi nonton dan dengerin motivasi mario teguh. Devan si perusak mental",0,0,2022-05-13T02:50:38Z
2,2J_nziJhz2k,Ugww52rT2vKqom3H0-V4AaABAg,Devan sedang curhat,0,2,2022-05-12T08:37:25Z
3,2J_nziJhz2k,UgzJwveRKcnrzV0z2Dt4AaABAg,Capek kerja atau Capek dikerjain 🤣,0,2,2022-05-11T22:05:08Z
4,2J_nziJhz2k,UgwZrBlBoblera_MnLZ4AaABAg,"Kerja kantoran Mulu yg dibahas...kerja dibidang pelayanan gt sekali2,gmn manis pahitnya krj dibidang itu, *curhat",0,0,2022-05-11T16:20:26Z
5,2J_nziJhz2k,Ugxtquw8q1T2w6eIwG54AaABAg,"lah, devan kerja di narası gimana? share dong pengalaman.nya.. wikwik",0,1,2022-05-11T12:06:15Z
6,2J_nziJhz2k,UgwnWa9K4e8D_1wu38x4AaABAg,"Salah satu alasan aku memilih untuk ditaruh di Kalsel. Gaji sama tp beban lebih dikit, suasana kantor lebih bersahabat",1,0,2022-05-11T10:29:51Z
7,2J_nziJhz2k,Ugyg9qWEUqH_Sjm36Lx4AaABAg,gaji juga ga semua gede,0,1,2022-05-11T10:26:34Z
8,2J_nziJhz2k,Ugw1-OCYr-ynaMDuQHh4AaABAg,WASTED.!!!,0,1,2022-05-11T09:49:20Z
9,2J_nziJhz2k,Ugzt237Q-POpCcRBXdR4AaABAg,"enak karena ada duitnya.  Coba kalo wiraswasta.  Buat sendiri, jual sendiri dan belum tentu laku bakal lebih stress lagi.",0,3,2022-05-11T09:38:24Z
10,2J_nziJhz2k,UgzN_zEH61AsjS3BoZx4AaABAg,Mending capek kerja dari pada capek cari kerja,1,5,2022-05-11T08:51:17Z
11,2J_nziJhz2k,UgzdgFZfVeNIlKV2o6x4AaABAg,"Saya sudah pernah kerja, kuliah, dagang dan nganggur<br><br>Dari pengalaman saya kerja itu yg paling ringan bebannya diantara yg 3 lainnya",4,7,2022-05-11T07:44:21Z
12,2J_nziJhz2k,UgzQoEYHrljcBvrZLbZ4AaABAg,Enak daripadanya nggak ada kerjaan,1,3,2022-05-11T06:14:14Z
