,videoId,IdUser,text,ReplyCount,likeCount,publishedAt
0,MIkvGIsZlkk,UgzzwayhNemobPH8C9Z4AaABAg,"Bersyukur banget tidak punya ijazah bisa buka usaha sendiri.<br>Tp dengan berani buka usaha sendiri juga butuh pengalaman yg banyak dan mental yg kuat, supaya saat jatuh masih bisa merangkak dan bangkit lagi.",0,0,2022-05-14T15:15:19Z
1,MIkvGIsZlkk,UgxahwVyVuqEdvS3Bvl4AaABAg,Bisa bisanya VOC wkwk,0,1,2022-05-09T13:14:48Z
2,MIkvGIsZlkk,UgxM19Zl5epFYpwN9h94AaABAg,"Ini tidak bisa dibiarkan, buruh dan petani bersatu lulululu",0,0,2022-05-09T11:55:52Z
3,MIkvGIsZlkk,UgwgjdqT4obH_TTyElF4AaABAg,Hahahahhaa.. Njir ngajak,0,0,2022-05-09T11:40:58Z
4,MIkvGIsZlkk,Ugx9dobCI-Agpye_X1p4AaABAg,Tpi kerja gaji UMR klo diperusahaan besar tekanan nya berat <br>Contoh : sales motor <br>ASTRA INTERNATIONAL<br>Klo gk target bahaya,1,0,2022-05-09T11:20:51Z
5,MIkvGIsZlkk,Ugwh2lqEEKnhEK4LKqJ4AaABAg,"Sedikit cerita pengalaman pribadi gw selama kerja diperantauan. Gw berasal dari salah satu kota di jawa tengah dengan range umr sekitar 2jt. Memang sudah niat sejak sekolah berkeinginan merantau ke kota besar seperti Jakarta. Dan alhamdulillah akhir tahun 2019 gw dipanggil kerja di Jakarta dengan gaji 2,5jt. Krn termasuk pengalaman pertama kali kerja gw gak pikir panjang lgsg gw ambil. Sayang nya pekerjaan itu hanya bertahan selama 3 bulan saja. Lanjut kota ke 2 yg gw datengin yaitu kota Bogor. Iya gw awal ngerantau di bogor dg gaji 3.7jt di tahun pertama dan 4.2jt di tahun ke dua. Alhasil di kota bogor hanyar bertahan selama 2 tahun. Dan sekarang alhamdulillah gw dapet kerja di Jakarta dengan gaji diatas umr baru jalan 6 bulan. Intinya buat kalian para freshgraduate jangan gengsi buat take and action pada first job kalian. Anggap saja kalian disini membangun relasi dan bahan untuk menempa ilmu yg baru. Semoga cerita gw ini bisa menjadikan motivasi buat para pencari kerja disana. Tetap semangat jangan pernah menyerah dan mengeluh atas keadaan",0,11,2022-05-09T11:20:27Z
6,MIkvGIsZlkk,Ugye04ZqVq6IMWeUSVZ4AaABAg,Voc comeback,0,0,2022-05-09T10:25:23Z
7,MIkvGIsZlkk,Ugzg_hXgYzbk8peOjWB4AaABAg,Supreme people absen disini,0,0,2022-05-09T09:39:30Z
8,MIkvGIsZlkk,UgxavcKqJlRSwIbpVUJ4AaABAg,Berarti lapangan kerjanya gak ada atau gimana?<br>Kalau negara dikuasai oligarki maka bakal sulit buat negakin UU ketenagakerjaan.,0,1,2022-05-09T09:21:14Z
9,MIkvGIsZlkk,UgyUbFnnV3Ui-toIU-F4AaABAg,"3 juta, d tempat saya aja masih banyak yg kerja cuma d gaji 1 juta / bulan",1,0,2022-05-09T08:53:03Z
