,videoId,IdUser,text,ReplyCount,likeCount,publishedAt
0,TBPJ1FllnNE,Ugx8PvCDUGtQHcYKh4d4AaABAg,"Tonton In My Sotoy Opinion eps. [Kantor Toxic: Pindah atau Bertahan?] dan episode lainnya hanya di <a href=""https://www.narasi.tv/"">https://www.narasi.tv</a> atau klik <a href=""https://bit.ly/3rQPajD"">https://bit.ly/3rQPajD</a>.",0,16,2022-04-25T12:13:21Z
1,TBPJ1FllnNE,Ugx2AsGaJ1Qp2xa_rlV4AaABAg,"Inilah alasan kenapa dosen kita ngeselin, karena dunia nyata akan jauh lebih mengerikan dari dosen itu sendiri",0,0,2022-05-17T11:46:33Z
2,TBPJ1FllnNE,UgzXzoF9vm2jYNvw-4Z4AaABAg,"Gw baca2 komen jadi takut kerja, apa mending investasi babi ngepet aja kali ya?",0,0,2022-05-16T20:53:18Z
3,TBPJ1FllnNE,Ugxm2RMjYxdy4WmwOfB4AaABAg,Tolong devan jangan nyanyi. Terasa toxic dari pada kantor yang toxic hahahhahaha....,0,0,2022-05-16T02:15:09Z
4,TBPJ1FllnNE,UgyHdVPOPVRtR5a0ZDt4AaABAg,Mbak Nana Wajib Follback si Devan...,0,0,2022-05-15T14:17:19Z
5,TBPJ1FllnNE,Ugy7931qaPk_HO3jd114AaABAg,Kita harus mendekatkan diri kepada Allah.,0,0,2022-05-14T10:50:17Z
6,TBPJ1FllnNE,UgyeK0RBG2Zo_uP6YdR4AaABAg,Bagus cara penyampaiannya.<br>jadi senang nontonnya.<br>senyum-senyum sendiri.,0,1,2022-05-14T03:39:33Z
7,TBPJ1FllnNE,Ugwl7vEm8QpNLD_cm0x4AaABAg,"Ada yg toxic in gua dikantor atau kerjaan,  gua bikin RESAIGN tuh org.  berhasil sihhhh, guanya jg resaign. paslah",2,0,2022-05-13T16:35:22Z
8,TBPJ1FllnNE,UgxScTfEJeJO7RcV2Q54AaABAg,lagu jadi karyawan nya cringe bgt.,0,0,2022-05-13T05:43:00Z
9,TBPJ1FllnNE,UgywpYOlRqn9iXSXrbF4AaABAg,Apakah tidak di folbek bos adalah ciri2 tempat kerja toksik juga?,0,0,2022-05-13T02:05:58Z
10,TBPJ1FllnNE,Ugy88wZNzM5X6w3o9IN4AaABAg,Gue rasa dunia kerja toxic semua mau gak mau harus stay<br>Prinsip nya gini berangkat kerja fokus pulang akhir bulan gajian dah gak usah baperan biar jiwa mu sehat,0,0,2022-05-12T20:46:36Z
11,TBPJ1FllnNE,Ugy847p2DPEF_vCYTvp4AaABAg,"Karyawan outsourcing bisa apa bang,, haha",0,0,2022-05-12T13:19:39Z
12,TBPJ1FllnNE,UgxOmNzN4RpEccZtko14AaABAg,Terwakili....kalo Alfi Taher street dah g kaget,0,0,2022-05-12T04:35:57Z
13,TBPJ1FllnNE,UgwK09liMxJ0ahdG_1l4AaABAg,Negara kita sejatinya adalah agraris maritim supreme...<br>Seandainya negara peduli banget maka petani dan nelayan adalah pekerjaan dgn income tertinggi...<br>Karena jadi pemasok makanan 70 persen penduduk bumi...,1,3,2022-05-11T11:47:30Z
14,TBPJ1FllnNE,Ugyhvxu0VigkYsAwvIl4AaABAg,Anjirr gue karyawan dan nonton ini...<br>Hahahahah lo LoL,0,0,2022-05-11T05:11:40Z
