,videoId,IdUser,text,ReplyCount,likeCount,publishedAt
0,d-ANGPBxWug,UgyZmx5XFONrT4bfDaF4AaABAg,Sueee. Batinnya kagak,0,0,2022-05-14T05:12:53Z
1,d-ANGPBxWug,UgyeH1bfhnaDFP-wfFd4AaABAg,"Yang ada salah mohon dimaafkan, yang gak ada salah buat kesalahan dulu ntar mohon maaf lahir dan batin ya",0,0,2022-05-09T07:15:46Z
2,d-ANGPBxWug,UgyfVX0mCKEg_xYASLB4AaABAg,...batin (diucapkan dalam batin) 😂,0,0,2022-05-07T12:42:01Z
3,d-ANGPBxWug,UgxQc-IvDvZEL24hqeR4AaABAg,Sukses terus IMSO<br>Terus sadarkan kami dg kenyataan 😂😁,0,1,2022-05-07T05:48:39Z
4,d-ANGPBxWug,Ugx_aKm6KXwH16C6iCZ4AaABAg,Suka banget,0,0,2022-05-06T22:18:53Z
5,d-ANGPBxWug,UgwnZ8x-2f_pm2QUZE54AaABAg,Devan nyebelin banget kayak gini tu di reallife-nya kayak apa ya,0,0,2022-05-06T02:18:31Z
6,d-ANGPBxWug,Ugz4Re-tsY9L8vNWO-h4AaABAg,"bang, muka lu ngeselin, apalagi baju itu terus. but I&#39;m enjoy watch ur content",0,0,2022-05-04T20:09:09Z
7,d-ANGPBxWug,Ugx9sqEZFSZcuEVECad4AaABAg,mantap nih wkwkwk lucu banget,0,0,2022-05-04T13:39:37Z
8,d-ANGPBxWug,UgxKnzXEdAw236AiELl4AaABAg,Keselnya nyampek sini 😑,0,0,2022-05-03T12:53:31Z
9,d-ANGPBxWug,UgxBeenkWy2fCMdX90t4AaABAg,"Memohon maaf aj loh aj udh asli ngeselin, gmn mau ngeselin yang asli   🤣🤣🤣🤣",0,0,2022-05-03T08:51:47Z
10,d-ANGPBxWug,UgyvzJeIGTg6xH_lSFl4AaABAg,Kalau gak ngeselin bukan Devan😂,0,1,2022-05-02T15:11:56Z
11,d-ANGPBxWug,Ugz2Yq5AWNUakChU__h4AaABAg,anjirr si devan mah..,0,0,2022-05-02T14:35:32Z
12,d-ANGPBxWug,Ugzl_vKTwUhmUlYlMr54AaABAg,KEK YANG PAKE TOPI BRUNO MARS ITU KEK KENAL DEH HHHHHMMMMM KIRA KIRA SIAPA YA ?? HELP KENALAN DONG WOI,0,0,2022-05-02T14:17:50Z
13,d-ANGPBxWug,UgwW6TCxBolk2AFBqap4AaABAg,"Haahahahahaaaaaa ngeselin bgt y.... fenomena masa kini, biz maap2an kembali k kejulidan awal.....",0,2,2022-05-02T11:05:32Z
14,d-ANGPBxWug,UgyOUUXBi9Dg-fJxaeF4AaABAg,Gatau gue gak suka dia 😂😂 soalnya kalau gue lagi ngedown nusuk banget kata kata dia.,1,1,2022-05-02T07:03:13Z
15,d-ANGPBxWug,Ugx5eTcnrthDKxC1sxV4AaABAg,"Yang mau minta maaf, tolong sebutkan salahnya apa. Lagian kalau tau salah, knp baru sekarang minta maafnya?",2,17,2022-05-02T05:51:23Z
16,d-ANGPBxWug,UgzuC5J7hgaXOhDhTMV4AaABAg,Wqwqwq,0,1,2022-05-02T04:15:29Z
17,d-ANGPBxWug,UgxYHdlcSZBMB03bUwx4AaABAg,Greget gua😤💀,0,1,2022-05-02T03:46:53Z
18,d-ANGPBxWug,UgyinIQi5gQ9TnAh0l54AaABAg,Gak gue maafin 😀😃😄,0,1,2022-05-02T03:46:14Z
19,d-ANGPBxWug,UgzRLmvm_URziDDX8Ip4AaABAg,Tetep ngeselin 😭🤣🤣,0,4,2022-05-02T03:44:43Z
20,d-ANGPBxWug,UgxYD6EebIswU2nFwmx4AaABAg,Goks wkwkwk,0,2,2022-05-02T03:35:06Z
21,d-ANGPBxWug,UgxzSyiUQtgRh5N4A_p4AaABAg,Keren,0,1,2022-05-02T03:25:55Z
22,d-ANGPBxWug,UgzwT-TXupfP4ONPG3J4AaABAg,Yang lagi depresi mohon close video ini. Bisa fatal akibatnya 😂,0,16,2022-05-02T03:17:31Z
23,d-ANGPBxWug,UgyS6pXFY1v5pKXS-sR4AaABAg,"Gpp<br>YG PENTING JGN NYINGGUNG SOAL PEMERENTEH, apalg mengkritik, ato malah ngeledek<br>soalnya udh kejadian mr. Kece itu 😂😂<br>Di shut down ama yass + lord 😂😂😂",4,14,2022-05-02T02:38:15Z
24,d-ANGPBxWug,Ugwqn0OWnoWXap5pn814AaABAg,Niat nyinggung 😁,0,1,2022-05-02T02:26:47Z
25,d-ANGPBxWug,Ugz0BaJK7nM3f_dFXOx4AaABAg,Saya maafkan 😂,0,1,2022-05-02T02:20:31Z
26,d-ANGPBxWug,UgwGikzJ64sxreW104h4AaABAg,😂🤣,0,1,2022-05-02T02:15:49Z
27,d-ANGPBxWug,UgycvSYD5bsk_WRwGsZ4AaABAg,"Maafnya secara lahir, batin.... kita teruskan sampai season selanjutnya",0,13,2022-05-02T02:00:24Z
28,d-ANGPBxWug,UgwWfgIfMIDOmJgzkJl4AaABAg,Aaaaaa sukaaaa,0,1,2022-05-02T01:53:45Z
29,d-ANGPBxWug,UgxkKNu4xNgYcElXISN4AaABAg,hahahaha juara 🤣,0,1,2022-05-02T01:52:14Z
30,d-ANGPBxWug,UgxZ1Vbc9-EV3VWt3XZ4AaABAg,cringe,1,0,2022-05-02T01:47:14Z
31,d-ANGPBxWug,UgwZK0C-NgHAcEbvtaF4AaABAg,Makasih Van. Unsubscribe.,0,3,2022-05-02T01:20:22Z
32,d-ANGPBxWug,UgzP01s4FUDKU42oohh4AaABAg,Ha ha ha <br>Ge je<br><br>Ha ha ha,0,0,2022-05-02T01:17:42Z
33,d-ANGPBxWug,UgwTu1niked6Uvxn5R14AaABAg,"wkwkwk emang gaje, tapi sukak",0,7,2022-05-02T01:15:06Z
