,videoId,IdUser,text,ReplyCount,likeCount,publishedAt
0,hE5bfgdDpN4,UgzAsaUjhafjaxKeFZl4AaABAg,Jaksel banyak lonte,0,0,2022-05-17T18:09:50Z
1,hE5bfgdDpN4,UgxRQr3mW7mf7KGHfmN4AaABAg,"Tinggal di Jaktim kerja di Jaksel, jajan di Jaksel :&#39;)",0,0,2022-05-17T15:25:53Z
2,hE5bfgdDpN4,UgyTrBIDwKIcdlMMA354AaABAg,di boyolali 30rb dapet wagyu,0,1,2022-05-16T10:43:58Z
3,hE5bfgdDpN4,Ugx80rVc9ufvV_wcf3B4AaABAg,Sekilas gw bacanya ngabuburit anak yatim,0,0,2022-05-16T08:46:11Z
4,hE5bfgdDpN4,Ugzq8DvMyJjeZcI1Rk94AaABAg,Dan Bandung? Sedang berkompetisi dalam segi parawisata nya sih. Dan yang saya tau Bandung Selatan (Pangalengan) sedang launching wisata internasional bulan ini.<br>Terimakasih BANDUNG.,0,1,2022-05-16T02:07:59Z
5,hE5bfgdDpN4,UgzF_GG2OivpLrYNbcB4AaABAg,"Jaksel g mahal2 amat, kirain semahal apa... 11-12 sm tempatku di Surabaya/Sidoarjo...",0,0,2022-05-15T13:59:44Z
6,hE5bfgdDpN4,UgwuP8R8LFB6B50paWh4AaABAg,di jaksel : cengtri (bonceng tiga)<br>di jaktim : boti (bonceng tiga),0,0,2022-05-15T11:07:47Z
7,hE5bfgdDpN4,UgwWHm_XQUNcBbIo7SF4AaABAg,Elo kalo mw ke jaksel ke senopati bank.<br><br>Kalo ke bm sq yah sama aja elu di jaktim,0,0,2022-05-15T05:15:58Z
8,hE5bfgdDpN4,Ugy53_a0u4xL--XVajV4AaABAg,Jaaah ketauan mas anak jaksel kuliah di uenjeh kayaknya 😂,0,0,2022-05-14T11:16:01Z
9,hE5bfgdDpN4,Ugy3_geXMpX653eKdhB4AaABAg,"Persusin anak Depok dong, <br>Gue orang jawatengah, pertama pergi ke jabar ketemunya ama anak depok. Belajar banyak hal dari anak depok. Ampe skrng di pikiran gw anak depok tahu semua hal 🤣🤣 lincah banget ngitarin jakarta dan seisinya",1,0,2022-05-13T13:35:19Z
10,hE5bfgdDpN4,Ugx5Lj9upu1rIuOeJqZ4AaABAg,Jakpus formil <br>Jaksel kebarat baratan <br>Jakbar arah Kalideres ke Jawa jawaan<br>Jakbar Jakut kecinaan <br>Jaktim Betawi Ama agak ke Arab araban,0,0,2022-05-13T11:35:25Z
11,hE5bfgdDpN4,UgyS1t82o7mEpymHdp94AaABAg,"masih menang JakBar laah, lebih variatif dan harga makanannya gak mahal juga wkwkwk",0,0,2022-05-13T11:06:54Z
12,hE5bfgdDpN4,Ugw67y85tdAjH-bl_YV4AaABAg,Jaksel enggek ada rumah makan Padang apa yak.?<br>rumah makan Padang 100.000 bisa cukup untuk 2-3 orang. lu bakal kenyeng sama nikmatnya rendang. dan pedasnya  sambal Minang🔥🔥🔥,2,0,2022-05-13T09:09:38Z
13,hE5bfgdDpN4,UgwWEuFYOszS6qYWF6x4AaABAg,Gua tinggal di jaksel tapi kenapa jiwa gua jaktim amat yaa. Sadis-afgan,0,0,2022-05-13T04:20:38Z
14,hE5bfgdDpN4,UgzgeX3TPXYSmyRqMmp4AaABAg,"Harganya masih mahal di kalimantan bro hehehehe. Gorengan 3ribuan, ayam bakar 40rb sama nasi 🤣",0,3,2022-05-12T21:42:58Z
15,hE5bfgdDpN4,Ugwdt8c04bovOYbXDM94AaABAg,Saya kira Jakarta ya Jakarta ternyata ada banyak perbedaan 😁 namun kita saling respect 🙏,0,1,2022-05-12T15:55:31Z
16,hE5bfgdDpN4,Ugzz5ovO8-KA4s9HRBp4AaABAg,Dapat ganja,0,0,2022-05-12T14:59:43Z
17,hE5bfgdDpN4,Ugw-cKYJfBibm5aNJSJ4AaABAg,"Gua dari Padang pertama kali ke Jaksel  , gua merasa uang 100 ribu berasa  uang 10 ribu di jaksel",0,1,2022-05-12T11:56:17Z
18,hE5bfgdDpN4,UgyR_ihlDhWDjmMrPZ14AaABAg,Buat warga Jakarta Jan sokeras di tahun 2025<br>Mungkin&lt;3,0,0,2022-05-12T11:47:07Z
19,hE5bfgdDpN4,UgwUd2lTUJIREryCphl4AaABAg,"kerasa banget jakarta semahal itu, uang 100ribu gak berlaku sehari.... so sad",1,0,2022-05-12T09:11:22Z
20,hE5bfgdDpN4,Ugy8sc2zxdqgE0Bqn9N4AaABAg,Duren sawit ya bang?,0,0,2022-05-12T08:28:18Z
21,hE5bfgdDpN4,UgzpzienpAR52fX0r4h4AaABAg,Nyimak .ah .‼️<br>Jak Sel<br>Hadir‼️,0,0,2022-05-12T05:44:46Z
22,hE5bfgdDpN4,Ugzhah15S8c07OX3I5t4AaABAg,Sok elit orang Jakarta sekarang hufttt ampun kalo diajak omong orang Jakarta gua diemin terus.gak akan gua tanggepin,2,0,2022-05-12T05:04:12Z
23,hE5bfgdDpN4,UgyPmVM8T89cL48xXZx4AaABAg,Kangen suasana jakarta... Terkhususnya jaktim.. bkt tmpat jjs dlu sm pcar orng kayu mas 😭😭,0,0,2022-05-12T03:10:56Z
24,hE5bfgdDpN4,UgzzPhcCtQnW_4cwJEl4AaABAg,BKT tempat gw mencari Nafkah 😅,0,0,2022-05-11T14:53:51Z
25,hE5bfgdDpN4,Ugy6LbpH1-XCrICbHqZ4AaABAg,"Padahal mukanya cocok bgt jdi anak jaktim, apa engga depok dah depok",0,0,2022-05-11T14:09:30Z
26,hE5bfgdDpN4,Ugya0MeQK6eVR1rqmG54AaABAg,Jakarta barat pride,1,1,2022-05-11T07:52:14Z
27,hE5bfgdDpN4,UgxgGaV664kfyEIhHSl4AaABAg,"Apa bedanya,sma2 jkrta kok",0,0,2022-05-11T07:31:08Z
28,hE5bfgdDpN4,UgxH1e2fS2aheqe2t9J4AaABAg,Medan belum?<br>Dengan uang Rp 100.000 kalau untuk beli Snack/jajan bisa dapat 2x lipat,0,1,2022-05-11T05:55:29Z
29,hE5bfgdDpN4,UgxIkvDMPLNNnE9IOaV4AaABAg,"Yok bahas surabaya barat, surabaya timur, surabaya selatan, surabaya utara, surabaya pusat, pasti gak kalah seru juga",0,0,2022-05-10T19:22:05Z
30,hE5bfgdDpN4,UgwuoDSyddGElkGzRh14AaABAg,Anak jaksel ya kaya anak jaktim juga modelannya 😂😂 kagak ada jaksel jakselnya acan,0,0,2022-05-10T16:55:11Z
31,hE5bfgdDpN4,UgwX_VPOb40kpsZLdk14AaABAg,Jakbar nyimak😂,0,1,2022-05-10T16:39:17Z
32,hE5bfgdDpN4,UgwdFPU0erFHc6wde0t4AaABAg,"Kelebihan Jaksel<br><a href=""http://www.youtube.com/results?search_query=%23dikasih"">#Dikasih</a> MRT ama Gubernur DKI<br><a href=""http://www.youtube.com/results?search_query=%23dikasih"">#Dikasih</a> Busway Layang ama Gubernur DKI",0,1,2022-05-10T14:38:28Z
33,hE5bfgdDpN4,UgxuC9s6fbTwFEHfJoN4AaABAg,"Saya pikir jkt lbh gaul dr bandung ternyata pas udh merantau ke jkt malah b aja, enakan di bandung jauh, anak muda2 nya lbh kreatif dan lbh bening2 sih beda sama jkt yg gelap gelap mukanya ups 😅",2,0,2022-05-10T13:18:28Z
34,hE5bfgdDpN4,UgwfHLc5sG3odSujvEB4AaABAg,"Sama seperti di surabaya<br>Ada selatan sebagai pintu utama daerah, barat tempat orang elit hedon dan hotel, utara tempat dagang eksim, timur kawasan bisnis",0,0,2022-05-10T12:30:45Z
35,hE5bfgdDpN4,UgyCg6lDuDCmbPeRn0t4AaABAg,Gw rasa anak jakselnya gede di unj dah wkwkw,0,0,2022-05-10T09:34:25Z
36,hE5bfgdDpN4,Ugwj9sg09BkVD7N5VGJ4AaABAg,Kalo pegel2 pijat di jaksel kira2 harganya kaya di eropa gak tuh,0,0,2022-05-10T07:00:33Z
37,hE5bfgdDpN4,Ugz8YXtl3V40shNvYx54AaABAg,"Lebay... Mau jaksel jaktim jakbar jakut, semua sama gitu&quot; aja wkkkk..",0,0,2022-05-10T04:07:33Z
38,hE5bfgdDpN4,Ugx_-jsOB6zZTkTWeCN4AaABAg,Dulu mah sepanjang blok m beli baju berjejer toko2 beratapkan terpal,0,0,2022-05-10T02:00:13Z
39,hE5bfgdDpN4,Ugwgq3QLVa0QHvJgqZB4AaABAg,"Soalnya kalo menurut serta pandangan gw ,kenapa di jaksel lebih dikenal banyak orang ya karena mungkin<br>1. Jaksel Memang ruang lingkupnnya masih asri banyak pepohonan &amp; Sejuk serta masih dekat dengan gunung (salak) dibanding jakarta lain nya.<br>2. Kriminalitas di jaksel itu lebih sedikit dibanding jakarta lain nya.<br>3. jaksel lebih banyak kantoran and perumahan dibanding gang atau padat penduduk, sehingga menciptakan kawasan bernuansa elite dibanding jakarta lain nya.",2,5,2022-05-10T00:25:33Z
40,hE5bfgdDpN4,UgxUWT6kcqUyBaLwwpJ4AaABAg,Enakan jaktim anti closing dan makanan gk susah dicari,0,0,2022-05-09T23:28:06Z
41,hE5bfgdDpN4,UgyW3uYlr6FFYjvGqvd4AaABAg,"generalisir, yang murah murah di jaksel juga banyak sama aja",0,0,2022-05-09T11:38:06Z
42,hE5bfgdDpN4,Ugx38vaaUjJtuBgp7zV4AaABAg,depok punya cerita 😁😁,0,0,2022-05-09T11:25:29Z
