,videoId,IdUser,text,ReplyCount,likeCount,publishedAt
0,iK7d61BZO-o,Ugz41yOO-QjpoRaNMFV4AaABAg,Kupang,0,0,2022-05-17T17:12:09Z
1,iK7d61BZO-o,UgzbwqzqGsXOn054ngF4AaABAg,kupang lah,0,0,2022-05-17T07:56:42Z
2,iK7d61BZO-o,UgzITLgEX8nWu8rtyr94AaABAg,Pas pelajaran peta buta pasti nyontek😄,0,0,2022-05-15T16:43:50Z
3,iK7d61BZO-o,UgzA4gLDeOujV_9eW5V4AaABAg,Turut berdukacita atas jawaban yang membanggakan ini😡😡,0,1,2022-05-15T13:37:17Z
4,iK7d61BZO-o,Ugwc0zP7-HhbiEaYf1B4AaABAg,RPUL masih ada yg jual ga sih? Pemerintah bagiin RPUL dong ke anak sekolah heehhe,0,1,2022-05-15T02:55:06Z
5,iK7d61BZO-o,Ugzo4v1ulybPtQFW2dN4AaABAg,LABUHAN BAJO,0,1,2022-05-15T02:02:04Z
6,iK7d61BZO-o,Ugy-_4r3TwXs6UyfWUJ4AaABAg,Kebanyakan updet story ama makan boba,0,11,2022-05-13T22:22:48Z
7,iK7d61BZO-o,UgzneY_04-WGtab0xg54AaABAg,GEN MICIN DI SURUH JAWAB PERTANYAAN SEPERTI INI HAH APA KATA PEMIRSA COBA,0,3,2022-05-13T15:52:07Z
8,iK7d61BZO-o,UgxYBAyXlQqyM7G3cZ94AaABAg,Sedih deh kalo liat acara kuis di tv kek gini,1,2,2022-05-13T13:47:10Z
9,iK7d61BZO-o,Ugw04UW5IJm0f8wr7Ap4AaABAg,kupang lah,0,1,2022-05-13T12:38:39Z
10,iK7d61BZO-o,UgwMfA0xTfJ5UvAn6-t4AaABAg,Kupang,0,0,2022-05-13T11:02:00Z
11,iK7d61BZO-o,UgzLwMXKbj_2FtDgRMF4AaABAg,Kupang,0,0,2022-05-13T10:59:13Z
12,iK7d61BZO-o,UgwkoSIFOKv_rOnzEwR4AaABAg,Beli RPUL sana!,12,1,2022-05-13T10:47:30Z
