,videoId,IdUser,text,ReplyCount,likeCount,publishedAt
0,xCWgwri0EDQ,UgxJlqtPs7dxwAfiG1x4AaABAg,"Tonton In My Sotoy Opinion eps. [Kantor Toxic: Pindah atau Bertahan?] hanya di YouTube Narasi atau klik <a href=""https://youtu.be/TBPJ1FllnNE"">https://youtu.be/TBPJ1FllnNE</a>.",0,0,2022-04-25T13:41:35Z
1,xCWgwri0EDQ,UgzQduqo2hvb_yXqd8B4AaABAg,Pertanyaan kita semua :&quot;) Harus apaaaa,0,0,2022-04-27T06:11:33Z
2,xCWgwri0EDQ,Ugx95uSIJ_0b9cF-0yl4AaABAg,Ga pernah di cuci tu bang bajunya??,0,0,2022-04-26T12:36:06Z
3,xCWgwri0EDQ,UgyPJ1pVwFfTV8OM7aF4AaABAg,harus ngelawak dulu biar seru,0,0,2022-04-25T10:25:45Z
4,xCWgwri0EDQ,UgxkH6am6RYxe8-5vJl4AaABAg,"ya harus resign, dengan plan.",0,0,2022-04-25T10:06:56Z
5,xCWgwri0EDQ,Ugwdh-SXjVozo0kMnUx4AaABAg,Gvlkkk wkwkwk,0,0,2022-04-25T05:05:23Z
6,xCWgwri0EDQ,Ugwbh8IU9XiP6pNjjSV4AaABAg,Pindah. Tp bikin perencanaan matang dl.,0,1,2022-04-25T00:53:56Z
7,xCWgwri0EDQ,UgxbrtRH7_WZAVgBAJB4AaABAg,"Realistis sih kalo aku, mau resign ya liat isi tabungan dulu, persiapan mateng mo kemana dulu, dpt tawaran dr tempat mana dulu.<br>Krn sejatinya gak ada uang buat makan dan bayar kontrakan lebih menyakitkan mental dan fisik drpd nyuekin orang toxic.<br>Tp kalo udah sampe bullying fisik/pelecehan berkepanjangan better resign. Krn dampak buruk dr mempertahankan pekerjaan akan lebih besar ketimbang yg lain.",0,2,2022-04-24T23:20:32Z
8,xCWgwri0EDQ,UgwEwAsRZiKdPxH_aHd4AaABAg,"Mas devan,, bikin kontent dong<br>&quot;Lingkungn kerja atau kamu sndri g akan pernah sama dengan video profil perusahaan &quot;",0,0,2022-04-24T23:05:28Z
9,xCWgwri0EDQ,UgzBfmDcKQQmo0ElUL94AaABAg,Ayo dong IMSO buat judul nyleneh lagi. Aku suka kekreatipannya 🤣👍,0,0,2022-04-24T21:09:03Z
10,xCWgwri0EDQ,UgwH3L0secbqYdTePd54AaABAg,"jadi sosok yg &#39;berbeda&#39; ditempat kerja, dipastikan jadi yang paling dinyinyirin xD",1,8,2022-04-24T18:31:52Z
11,xCWgwri0EDQ,UgyjDjbQv0YaIBJz5Jx4AaABAg,Ya ndak tau kok tanya saya,0,0,2022-04-24T16:48:50Z
