,videoId,PublishDate,title,viewCount,likeCount,commentCount
0,-mmnQhu3ibk,2022-05-17T09:00:00Z,"Stop Sembunyi, Saatnya Bebas Gerah dan Jadi Diri Sendiri | WMN by Narasi",1028,58,4
1,ZiqymjUNYB0,2022-05-15T09:00:10Z,Pekerjaan Kamu Monoton dan Repetitif? In My Sototy Opinion,2454,85,6
2,WEwMWbnszQ0,2022-05-14T10:30:04Z,(Ep 10) - Semifinal TWK: Tim PNS vs Tim Politikus Muda | Tes Wawasan Kebangsaan,21072,1112,154
3,iK7d61BZO-o,2022-05-13T10:30:09Z,Jadi Ibukota NTT tuh Apa Sih? | Tes Wawasan Kebangsaan,3760,107,26
4,exv03SxmjnE,2022-05-13T08:00:12Z,Lagu Santai Bagi Pekerja | In My Sotoy Opinion,6509,280,19
5,I1loFCQDK9s,2022-05-11T10:00:15Z,(Ep 9) Semifinal TWK: Tim Kpopers vs Tim Komika | Tes Wawasan Kebangsaan,23164,1477,184
6,2J_nziJhz2k,2022-05-11T06:00:01Z,Enaknya Jadi Pekerja Ibu Kota | In My Sotoy Opinion,8265,360,20
7,ErE2HPuqM0M,2022-05-10T04:00:07Z,Hacks buat Realistic Landscape! | Narasi Creative Ecosystem,2559,203,2
8,9Q2-gGbyqcE,2022-05-09T12:00:07Z,Kenapa Pekerja Ibu Kota Harus Lebih Produktif? | In My Sotoy Opinion,76792,3224,468
9,MIkvGIsZlkk,2022-05-09T05:00:05Z,Kenapa Pekerja Ibu Kota Harus Lebih Produktif? (Official Trailer) | In My Sotoy Opinion,10720,319,37
10,FjlTZxaKJWw,2022-05-02T03:00:04Z,"Selamat Lebaran, #SaatnyaBaikan dan Jadi Lebih Baik",1660,40,0
11,d-ANGPBxWug,2022-05-02T01:00:08Z,Klarifikasi Devan Demotivator | In My Sotoy Opinion,21492,472,42
12,prCWPbs44kA,2022-05-01T12:00:33Z,Rumah Pak Pras: #SaatnyaBaikan Rayakan Hari Kemenangan,810,33,0
13,xkW52YvF2Tg,2022-05-01T03:00:18Z,Tips Menghadapi Rekan Kerja Resek | In My Sotoy Opinion,6510,188,6
14,oV2Tg3CQ9gI,2022-04-30T10:00:28Z,(Ep 8) - Perempat Final: Tim PNS vs Tim Model | Tes Wawasan Kebangsaan,25009,1167,120
15,nH9XG2nK7wk,2022-04-30T08:00:27Z,Mau Gak Punya Pasangan Lebih Kaya? | Namanya Juga Lyfe,12132,99,2
16,NEAEaY62IJA,2022-04-30T06:00:05Z,Desain Kolaborasi Kartu Lebaran Febrina Tiara x RAN,378,7,0
17,C5X166CGzRM,2022-04-30T05:00:04Z,Segini Budget Nge-date Karyawan SCBD | Namanya Juga Lyfe,6276,109,22
18,ThCJFYJM5Ss,2022-04-29T12:00:23Z,Tekanan Kerja di SCBD Bikin Mereka Insecure Soal Duit (Official Trailer) | Namanya Juga Lyfe,4562,70,5
19,md-OpssDswY,2022-04-29T11:00:33Z,Desain Kolaborasi Kartu Lebaran Mukhammad Alwi x Vira Talisa,376,7,0
20,whJqPdfq46g,2022-04-29T07:00:29Z,Semangat Karyawan Baru | In My Sotoy Opinion,8005,305,9
21,OeXsfFcpzCo,2022-04-28T11:30:06Z,Rumah Pak Pras: Indahnya Berbagi,875,41,1
22,_7bzKCEBmrc,2022-04-28T09:00:14Z,Desain Kolaborasi Kartu Lebaran Yudistira Wiranata x Vidi Aldiano,723,21,1
23,_NSfmgcS4ME,2022-04-27T13:30:16Z,Desain Kolaborasi Kartu Lebaran Alodia Yap x Sivia Azizah,779,17,0
24,Uv8gIxIPjXo,2022-04-27T12:00:29Z,Tekanan Kerja di SCBD Bikin Mereka Insecure Soal Duit | Namanya Juga Lyfe,211529,4140,1327
25,eSUCeiHp1C4,2022-04-27T10:00:17Z,(Ep 7) - Perempat Final: Tim Komika vs Tim Ibu Rumah Tangga | Tes Wawasan Kebangsaan,26819,1465,144
26,9q0hIHRIG84,2022-04-27T05:00:05Z,Soundtrack Weekend | In My Sotoy Opinion,7584,388,11
27,DAi5H3TEMCo,2022-04-26T10:00:11Z,"Kita Beragam, Kita Cantik | Cozy Convo",1103,50,0
28,CpezYNeIDS0,2022-04-26T05:00:03Z,"Rp100.000 Buat Ngabuburit di Jaksel, Emang Cukup? | Namanya Juga Lyfe",3976,93,1
29,OuosibMqjqU,2022-04-26T04:00:06Z,Tongsis + Ponsel = Boom Mic?! | Narasi Creative Ecosystem,2051,64,0
30,MPaxRAWAeNo,2022-04-26T01:30:06Z,Pensiunan gak mau kalah sama Politikus Muda! | Tes Wawasan Kebangsaan,12286,51,0
31,TBPJ1FllnNE,2022-04-25T12:00:15Z,Kantor Toxic: Pindah atau Bertahan? | In My Sotoy Opinion,59239,2182,253
32,EA8ijuwJqGQ,2022-04-25T04:30:01Z,"Ngabuburit di Jaktim Dengan Budget Rp100.000, Dapet Apa aja? | Namanya Juga Lyfe",3018,83,3
33,xCWgwri0EDQ,2022-04-24T12:00:33Z,Kantor Toxic: Pindah atau Bertahan? (Official Trailer) | In My Sotoy Opinion,11102,331,26
